title,address,name
中江病院,和歌山県和歌山市船所30-1,消化器外科眼科神経内科内科脳神経外科リハビリテーション科整形外科乳腺外科外科放射線科呼吸器科消化器科胃腸科循環器科糖尿病科
角谷リハビリテーション病院,和歌山県和歌山市納定10-1,内科脳神経外科整形外科放射線科リハビリテーション科循環器科
済生会有田病院,和歌山県有田郡湯浅町吉川52-6,皮膚科整形外科耳鼻咽喉科内科心臓血管外科リハビリテーション科外科眼科放射線科消化器科循環器科
向陽病院,和歌山県和歌山市津秦40,泌尿器科リハビリテーション科外科内科脳神経外科放射線科整形外科消化器科循環器科
堀口記念病院,和歌山県和歌山市湊本町3丁目4-1,麻酔科整形外科内科リハビリテーション科外科消化器外科消化器科
谷口病院,和歌山県海南市日方328,血液内科整形外科リハビリテーション科内科腎臓内科放射線科胃腸科
藤民病院,和歌山県和歌山市塩屋3丁目6-2,内科消化器科
和歌山ろうさい病院,和歌山県和歌山市木ノ本93-1,リハビリテーション科内科血液内科皮膚科麻酔科乳腺外科泌尿器科外科産婦人科呼吸器外科眼科放射線科小児科神経内科耳鼻咽喉科整形外科脳神経外科呼吸器科消化器科循環器科糖尿病科
国保野上厚生総合病院,和歌山県海草郡紀美野町小畑198,産婦人科リハビリテーション科外科精神科眼科脳神経外科耳鼻咽喉科整形外科泌尿器科内科神経科
北出病院,和歌山県御坊市湯川町財部728-4,脳神経外科心療内科放射線科腎臓内科小児科リウマチ科整形外科内科血液内科乳腺外科リハビリテーション科麻酔科外科心臓血管外科消化器外科アレルギー科呼吸器科消化器科循環器科肛門科糖尿病科
石本病院,和歌山県海南市船尾365,整形外科リハビリテーション科内科皮膚科泌尿器科消化器外科外科呼吸器外科放射線科呼吸器科消化器科循環器科肛門科
恵友病院,和歌山県海南市船尾264-2,脳神経外科リハビリテーション科麻酔科内科消化器外科外科放射線科呼吸器科消化器科循環器科
有田南病院,和歌山県有田郡有田川町小島15,内科眼科皮膚科泌尿器科放射線科リハビリテーション科リウマチ科消化器内科腎臓内科人工透析内科
貴志川リハビリテーション病院,和歌山県紀の川市貴志川町丸栖1423-3,脳神経外科整形外科麻酔科内科リハビリテーション科外科
国保日高総合病院・日高医師会　病ー診連携休日急患診療室,和歌山県御坊市薗116-2 国保日高総合病院内,内科小児科
古梅記念病院,和歌山県和歌山市新生町5-37,脳神経外科内科リハビリテーション科乳腺外科外科整形外科
田村病院,和歌山県和歌山市小倉645,精神科
和歌浦中央病院,和歌山県和歌山市塩屋6丁目2-70,泌尿器科外科眼科小児科神経内科整形外科脳神経外科リハビリテーション科内科血液内科消化器科循環器科
稲穂会病院,和歌山県紀の川市粉河756-3,リハビリテーション科脳神経外科内科整形外科外科胃腸科肛門科
玉置病院,和歌山県田辺市上屋敷2丁目5-1,外科婦人科脳神経外科整形外科乳腺外科内科
串本有田病院,和歌山県東牟婁郡串本町有田499-1,放射線科神経内科皮膚科内科リハビリテーション科外科眼科脳神経外科循環器科
名手病院,和歌山県紀の川市名手市場294-1,整形外科内科リハビリテーション科眼科脳神経外科腎臓内科
井上病院,和歌山県和歌山市小人町南ノ丁20,内科脳神経外科整形外科リハビリテーション科
済生会和歌山病院,和歌山県和歌山市十二番丁45,内科皮膚科麻酔科泌尿器科心臓血管外科外科眼科放射線科耳鼻咽喉科整形外科脳神経外科リハビリテーション科消化器科循環器科糖尿病科
