カテゴリ,物件名,住所,最寄りのアクセス_1,最寄りのアクセス_2,最寄りのアクセス_3,築年数,階数,階,家賃,管理費,敷金,礼金,間取,面積,URL
賃貸アパート,南海本線 紀ノ川駅 2階建 築6年,和歌山県和歌山市福島,南海本線/紀ノ川駅 歩15分,南海本線/和歌山市駅 歩19分,南海加太線/東松江駅 歩28分,築6年,2階建,1階,5.8万円,3500円,5.8万円,5.8万円,1LDK,42.59m2,https://suumo.jp/chintai/jnc_000043258595/?bc=100346854081
賃貸アパート,ＴＪ紀三井寺,和歌山県和歌山市紀三井寺,ＪＲ紀勢本線/紀三井寺駅 歩15分,ＪＲ紀勢本線/黒江駅 歩32分,ＪＲ紀勢本線/海南駅 歩57分,築3年,2階建,2階,6万円,3000円,6万円,6万円,1LDK,42.48m2,https://suumo.jp/chintai/jnc_000062383253/?bc=100346755928
賃貸アパート,ＴＪ紀三井寺,和歌山県和歌山市紀三井寺,ＪＲ紀勢本線/紀三井寺駅 歩15分,ＪＲ紀勢本線/黒江駅 歩32分,ＪＲ紀勢本線/海南駅 歩57分,築3年,2階建,2階,6万円,3000円,6万円,6万円,1LDK,42.48m2,https://suumo.jp/chintai/jnc_000062383252/?bc=100334987133
賃貸アパート,ＪＲ阪和線 六十谷駅 2階建 築6年,和歌山県和歌山市直川,ＪＲ阪和線/六十谷駅 歩7分,ＪＲ和歌山線/田井ノ瀬駅 歩53分,ＪＲ阪和線/紀伊中ノ島駅 歩49分,築6年,2階建,1階,4.2万円,2000円,-,-,1K,20.7m2,https://suumo.jp/chintai/jnc_000044491535/?bc=100305987393
賃貸アパート,ＪＲ阪和線 六十谷駅 2階建 築6年,和歌山県和歌山市直川,ＪＲ阪和線/六十谷駅 歩7分,ＪＲ和歌山線/田井ノ瀬駅 歩53分,ＪＲ阪和線/紀伊中ノ島駅 歩49分,築6年,2階建,1階,4.2万円,2000円,-,-,1K,20.7m2,https://suumo.jp/chintai/jnc_000044491531/?bc=100344154162
賃貸アパート,ＪＲ阪和線 六十谷駅 2階建 築6年,和歌山県和歌山市直川,ＪＲ阪和線/六十谷駅 歩7分,ＪＲ和歌山線/田井ノ瀬駅 歩53分,ＪＲ阪和線/紀伊中ノ島駅 歩49分,築6年,2階建,1階,4.2万円,2000円,-,-,1K,20.7m2,https://suumo.jp/chintai/jnc_000044491533/?bc=100340102707
賃貸アパート,ＪＲ阪和線 六十谷駅 2階建 築6年,和歌山県和歌山市直川,ＪＲ阪和線/六十谷駅 歩7分,ＪＲ和歌山線/田井ノ瀬駅 歩53分,ＪＲ阪和線/紀伊中ノ島駅 歩49分,築6年,2階建,2階,4.2万円,2000円,-,-,1K,20m2,https://suumo.jp/chintai/jnc_000044491545/?bc=100346755932
賃貸アパート,レ・プリムール,和歌山県和歌山市島,ＪＲ阪和線/紀伊駅 歩13分,ＪＲ和歌山線/布施屋駅 歩43分,ＪＲ阪和線/六十谷駅 歩55分,築14年,2階建,2階,4.8万円,4000円,4.8万円,-,1K,29.75m2,https://suumo.jp/chintai/jnc_000080129731/?bc=100315294934
賃貸アパート,ゼン・アムール,和歌山県和歌山市岩橋,ＪＲ和歌山線/田井ノ瀬駅 歩17分,ＪＲ阪和線/和歌山駅 歩45分,ＪＲ和歌山線/千旦駅 歩27分,築16年,2階建,1階,4.3万円,4000円,4.3万円,-,1K,24.7m2,https://suumo.jp/chintai/jnc_000031644054/?bc=100316255507
賃貸アパート,ゼン・アムール,和歌山県和歌山市岩橋,ＪＲ和歌山線/田井ノ瀬駅 歩17分,ＪＲ阪和線/和歌山駅 歩45分,ＪＲ和歌山線/千旦駅 歩27分,築16年,2階建,2階,4.4万円,4000円,4.4万円,-,1K,24.75m2,https://suumo.jp/chintai/jnc_000080659735/?bc=100319156102
賃貸アパート,ゼン・アムール,和歌山県和歌山市岩橋,ＪＲ和歌山線/田井ノ瀬駅 歩17分,ＪＲ阪和線/和歌山駅 歩45分,ＪＲ和歌山線/千旦駅 歩27分,築16年,2階建,2階,4.4万円,4000円,4.4万円,-,1K,24.75m2,https://suumo.jp/chintai/jnc_000043813237/?bc=100346841851
賃貸アパート,ゼン・アムール,和歌山県和歌山市岩橋,ＪＲ和歌山線/田井ノ瀬駅 歩17分,ＪＲ阪和線/和歌山駅 歩45分,ＪＲ和歌山線/千旦駅 歩27分,築16年,2階建,2階,4.5万円,4000円,4.5万円,-,1K,24.75m2,https://suumo.jp/chintai/jnc_000023835811/?bc=100346841849
賃貸アパート,南海本線 和歌山市駅 2階建 築11年,和歌山県和歌山市北島,南海本線/和歌山市駅 歩20分,南海本線/紀ノ川駅 歩20分,南海加太線/紀ノ川駅 歩20分,築11年,2階建,2階,6.4万円,3000円,6.4万円,-,2LDK,54.57m2,https://suumo.jp/chintai/jnc_000042570012/?bc=100346812286
賃貸アパート,メモリーガーデン　II,和歌山県和歌山市山口西,ＪＲ阪和線/紀伊駅 歩25分,南海本線/和歌山市駅 バス34分 (バス停)川永西口 歩12分,,築14年,2階建,1階,5.5万円,4400円,-,5.5万円,1LDK,44.7m2,https://suumo.jp/chintai/jnc_000085387704/?bc=100303025361
賃貸アパート,TJ松江東,和歌山県和歌山市松江東２,南海加太線/中松江駅 歩9分,南海加太線/東松江駅 歩10分,南海加太線/八幡前駅 歩21分,築1年,2階建,1階,2.98万円,3200円,2.98万円,2.98万円,1K,20m2,https://suumo.jp/chintai/jnc_000081510349/?bc=100323118615
賃貸アパート,フロレスタ　セゾン,和歌山県和歌山市東長町５,南海本線/和歌山市駅 歩19分,南海和歌山港線/和歌山港駅 歩27分,ＪＲ阪和線/和歌山駅 歩35分,築20年,2階建,2階,4.2万円,5600円,-,-,1K,24m2,https://suumo.jp/chintai/jnc_000085430063/?bc=100346755936
賃貸アパート,ハーベスト弐番館,和歌山県和歌山市太田２,ＪＲ阪和線/和歌山駅 歩6分,わかやま電鉄貴志川線/田中口駅 歩10分,ＪＲ紀勢本線/和歌山駅 歩6分,築16年,2階建,1階,5.25万円,2200円,-,5.25万円,ワンルーム,32.9m2,https://suumo.jp/chintai/jnc_000085224403/?bc=100345380693
賃貸アパート,アビイ　ロード,和歌山県和歌山市中之島,ＪＲ紀勢本線/紀和駅 歩7分,ＪＲ阪和線/和歌山駅 歩25分,南海本線/和歌山市駅 歩25分,新築,2階建,1階,7.2万円,4400円,-,7.2万円,1LDK,44.7m2,https://suumo.jp/chintai/jnc_000080533708/?bc=100317516017
賃貸アパート,アビイ　ロード,和歌山県和歌山市中之島,ＪＲ紀勢本線/紀和駅 歩7分,ＪＲ阪和線/和歌山駅 歩25分,南海本線/和歌山市駅 歩25分,新築,2階建,1階,7.2万円,4400円,-,7.2万円,1LDK,44.7m2,https://suumo.jp/chintai/jnc_000080533706/?bc=100321078275
賃貸アパート,アビイ　ロード,和歌山県和歌山市中之島,ＪＲ紀勢本線/紀和駅 歩7分,ＪＲ阪和線/和歌山駅 歩25分,南海本線/和歌山市駅 歩25分,新築,2階建,1階,7.2万円,4400円,-,7.2万円,1LDK,44.7m2,https://suumo.jp/chintai/jnc_000080533707/?bc=100317514671
賃貸アパート,アビイ　ロード,和歌山県和歌山市中之島,ＪＲ紀勢本線/紀和駅 歩7分,ＪＲ阪和線/和歌山駅 歩25分,南海本線/和歌山市駅 歩25分,新築,2階建,1階,7.4万円,4400円,-,7.4万円,1LDK,44.7m2,https://suumo.jp/chintai/jnc_000080533709/?bc=100317514695
賃貸アパート,アビイ　ロード,和歌山県和歌山市中之島,ＪＲ紀勢本線/紀和駅 歩7分,ＪＲ阪和線/和歌山駅 歩25分,南海本線/和歌山市駅 歩25分,新築,2階建,1階,7.4万円,4400円,-,7.4万円,1LDK,44.7m2,https://suumo.jp/chintai/jnc_000080533705/?bc=100321901978
賃貸アパート,アビイ　ロード,和歌山県和歌山市中之島,ＪＲ紀勢本線/紀和駅 歩7分,ＪＲ阪和線/和歌山駅 歩25分,南海本線/和歌山市駅 歩25分,新築,2階建,2階,7.9万円,4400円,-,7.9万円,2LDK,56.48m2,https://suumo.jp/chintai/jnc_000080533712/?bc=100321078338
賃貸アパート,アビイ　ロード,和歌山県和歌山市中之島,ＪＲ紀勢本線/紀和駅 歩7分,ＪＲ阪和線/和歌山駅 歩25分,南海本線/和歌山市駅 歩25分,新築,2階建,2階,7.9万円,4400円,-,7.9万円,2LDK,56m2,https://suumo.jp/chintai/jnc_000080533711/?bc=100341348477
賃貸アパート,アビイ　ロード,和歌山県和歌山市中之島,ＪＲ紀勢本線/紀和駅 歩7分,ＪＲ阪和線/和歌山駅 歩25分,南海本線/和歌山市駅 歩25分,新築,2階建,2階,7.9万円,4400円,-,7.9万円,2LDK,56.44m2,https://suumo.jp/chintai/jnc_000080533713/?bc=100346475949
賃貸アパート,アビイ　ロード,和歌山県和歌山市中之島,ＪＲ紀勢本線/紀和駅 歩7分,ＪＲ阪和線/和歌山駅 歩25分,南海本線/和歌山市駅 歩25分,新築,2階建,2階,8.1万円,4400円,-,8.1万円,2LDK,56.44m2,https://suumo.jp/chintai/jnc_000080533710/?bc=100341348504
賃貸アパート,アビイ　ロード,和歌山県和歌山市中之島,ＪＲ紀勢本線/紀和駅 歩7分,ＪＲ阪和線/和歌山駅 歩25分,南海本線/和歌山市駅 歩25分,新築,2階建,2階,8.1万円,4400円,-,8.1万円,2LDK,56.44m2,https://suumo.jp/chintai/jnc_000080533714/?bc=100317514684
賃貸アパート,Ｆｌｏｒａ　みさき,和歌山県和歌山市加納,ＪＲ阪和線/紀伊中ノ島駅 バス5分 (バス停)松島 歩8分,,,築15年,2階建,2階,5.4万円,4000円,-,5万円,1LDK,37.53m2,https://suumo.jp/chintai/jnc_000084143411/?bc=100338970447
賃貸アパート,南海本線 和歌山市駅 2階建 築18年,和歌山県和歌山市東小二里町,南海本線/和歌山市駅 バス10分 (バス停)小二里 歩9分,,,築18年,2階建,1階,5.7万円,2200円,-,-,2LDK,55.72m2,https://suumo.jp/chintai/jnc_000082163192/?bc=100326911587
賃貸アパート,アルヴィータ・Ｆ,和歌山県和歌山市友田町４,ＪＲ和歌山線/和歌山駅 歩5分,ＪＲ阪和線/和歌山駅 歩5分,ＪＲ紀勢本線/和歌山駅 歩5分,築6年,3階建,2階,6万円,5000円,6万円,6万円,1K,28.05m2,https://suumo.jp/chintai/jnc_000032441525/?bc=100346834702
賃貸アパート,アルヴィータ・Ｆ,和歌山県和歌山市友田町４,ＪＲ和歌山線/和歌山駅 歩5分,ＪＲ阪和線/和歌山駅 歩5分,ＪＲ紀勢本線/和歌山駅 歩5分,築6年,3階建,3階,6.1万円,5000円,6.1万円,6.1万円,1K,28m2,https://suumo.jp/chintai/jnc_000032441526/?bc=100346023793
賃貸アパート,Ｊハープ木ノ本,和歌山県和歌山市木ノ本,南海加太線/八幡前駅 歩19分,南海加太線/中松江駅 歩28分,南海本線/和歌山大学前駅 歩43分,築6年,2階建,2階,7.5万円,4000円,-,-,2LDK,65.28m2,https://suumo.jp/chintai/jnc_000083528062/?bc=100334971746
賃貸アパート,南海本線 紀ノ川駅 2階建 築18年,和歌山県和歌山市野崎,南海本線/紀ノ川駅 歩22分,南海加太線/東松江駅 歩22分,南海本線/和歌山市駅 歩25分,築18年,2階建,2階,3.9万円,3000円,-,-,ワンルーム,25.25m2,https://suumo.jp/chintai/jnc_000080728700/?bc=100292744744
賃貸アパート,彩城Ａ,和歌山県和歌山市出島,ＪＲ和歌山線/田井ノ瀬駅 歩28分,ＪＲ阪和線/和歌山駅 歩36分,ＪＲ紀勢本線/紀和駅 歩41分,築15年,2階建,2階,4.9万円,4000円,4.9万円,4.9万円,1K,31m2,https://suumo.jp/chintai/jnc_000014561048/?bc=100331174680
賃貸アパート,彩城Ａ,和歌山県和歌山市出島,ＪＲ和歌山線/田井ノ瀬駅 歩28分,ＪＲ阪和線/和歌山駅 歩36分,ＪＲ紀勢本線/紀和駅 歩41分,築15年,2階建,2階,4.9万円,4000円,4.9万円,4.9万円,1K,31.02m2,https://suumo.jp/chintai/jnc_000031871857/?bc=100345133976
賃貸アパート,彩城Ａ,和歌山県和歌山市出島,ＪＲ和歌山線/田井ノ瀬駅 歩28分,ＪＲ阪和線/和歌山駅 歩36分,ＪＲ紀勢本線/紀和駅 歩41分,築15年,2階建,2階,4.9万円,4000円,4.9万円,4.9万円,1K,31.02m2,https://suumo.jp/chintai/jnc_000049491867/?bc=100346830766
賃貸アパート,フジパレスリベーラ今福,和歌山県和歌山市今福５,ＪＲ紀勢本線/和歌山市駅 バス6分 (バス停)花王橋 歩10分,南海和歌山港線/和歌山港駅 歩32分,ＪＲ阪和線/和歌山駅 歩56分,築17年,2階建,2階,4.2万円,4300円,-,-,1K,27m2,https://suumo.jp/chintai/jnc_000085456049/?bc=100346834706
賃貸アパート,ＪＲ紀勢本線 和歌山市駅 2階建 築17年,和歌山県和歌山市今福５,ＪＲ紀勢本線/和歌山市駅 バス6分 (バス停)花王橋 歩10分,南海和歌山港線/和歌山港駅 歩32分,ＪＲ阪和線/和歌山駅 歩56分,築17年,2階建,2階,4.2万円,4300円,-,-,1K,27m2,https://suumo.jp/chintai/jnc_000085456050/?bc=100346833514
賃貸アパート,ソレイユ鳴神,和歌山県和歌山市鳴神,わかやま電鉄貴志川線/田中口駅 歩27分,わかやま電鉄貴志川線/日前宮駅 歩17分,ＪＲ和歌山線/田井ノ瀬駅 歩34分,築35年,5階建,2階,4万円,3000円,4万円,4万円,2DK,49.1m2,https://suumo.jp/chintai/jnc_000085470779/?bc=100346875310
賃貸アパート,ソレイユ鳴神,和歌山県和歌山市鳴神,わかやま電鉄貴志川線/田中口駅 歩27分,わかやま電鉄貴志川線/日前宮駅 歩17分,ＪＲ和歌山線/田井ノ瀬駅 歩34分,築35年,5階建,2階,4万円,3000円,4万円,4万円,2DK,49.1m2,https://suumo.jp/chintai/jnc_000085470780/?bc=100346875230
賃貸アパート,ピアニー関戸,和歌山県和歌山市関戸２,ＪＲ紀勢本線/紀三井寺駅 歩35分,ＪＲ紀勢本線/宮前駅 歩46分,南海和歌山港線/和歌山港駅 歩55分,築9年,2階建,1-2階,7.05万円,3300円,-,7.05万円,2LDK,67.9m2,https://suumo.jp/chintai/jnc_000085437265/?bc=100346830907
賃貸アパート,Superieur（シュペリユール）,和歌山県和歌山市秋月,ＪＲ阪和線/和歌山駅 歩22分,わかやま電鉄貴志川線/日前宮駅 歩10分,わかやま電鉄貴志川線/神前駅 歩28分,新築,3階建,1階,8.2万円,4000円,-,20万円,1LDK,42.03m2,https://suumo.jp/chintai/jnc_000084703021/?bc=100337191847
賃貸アパート,Superieur（シュペリユール）,和歌山県和歌山市秋月,ＪＲ阪和線/和歌山駅 歩22分,わかやま電鉄貴志川線/日前宮駅 歩10分,わかやま電鉄貴志川線/神前駅 歩28分,新築,3階建,2階,8.3万円,4000円,-,20万円,1LDK,42.03m2,https://suumo.jp/chintai/jnc_000084703025/?bc=100346473544
賃貸アパート,Superieur（シュペリユール）,和歌山県和歌山市秋月,ＪＲ阪和線/和歌山駅 歩22分,わかやま電鉄貴志川線/日前宮駅 歩10分,わかやま電鉄貴志川線/神前駅 歩28分,新築,3階建,1階,8.5万円,4000円,-,20万円,1LDK,44.75m2,https://suumo.jp/chintai/jnc_000084703022/?bc=100346841850
賃貸アパート,Superieur（シュペリユール）,和歌山県和歌山市秋月,ＪＲ阪和線/和歌山駅 歩22分,わかやま電鉄貴志川線/日前宮駅 歩10分,わかやま電鉄貴志川線/神前駅 歩28分,新築,3階建,3階,8.5万円,4000円,-,20万円,1LDK,42.03m2,https://suumo.jp/chintai/jnc_000084703028/?bc=100340270796
賃貸アパート,Superieur（シュペリユール）,和歌山県和歌山市秋月,ＪＲ阪和線/和歌山駅 歩22分,わかやま電鉄貴志川線/日前宮駅 歩10分,わかやま電鉄貴志川線/神前駅 歩28分,新築,3階建,2階,8.6万円,4000円,-,20万円,1LDK,44.75m2,https://suumo.jp/chintai/jnc_000084703026/?bc=100337986883
賃貸アパート,Superieur（シュペリユール）,和歌山県和歌山市秋月,ＪＲ阪和線/和歌山駅 歩22分,わかやま電鉄貴志川線/日前宮駅 歩10分,わかやま電鉄貴志川線/神前駅 歩28分,新築,3階建,3階,8.7万円,4000円,-,20万円,1LDK,44.75m2,https://suumo.jp/chintai/jnc_000084703029/?bc=100337191854
賃貸アパート,Superieur（シュペリユール）,和歌山県和歌山市秋月,ＪＲ阪和線/和歌山駅 歩22分,わかやま電鉄貴志川線/日前宮駅 歩10分,わかやま電鉄貴志川線/神前駅 歩28分,新築,3階建,1階,10.1万円,4000円,-,30万円,2LDK,64.68m2,https://suumo.jp/chintai/jnc_000084703023/?bc=100337193037
賃貸アパート,Superieur（シュペリユール）,和歌山県和歌山市秋月,ＪＲ阪和線/和歌山駅 歩22分,わかやま電鉄貴志川線/日前宮駅 歩10分,わかやま電鉄貴志川線/神前駅 歩28分,新築,3階建,2階,10.2万円,4000円,-,30万円,2LDK,64.68m2,https://suumo.jp/chintai/jnc_000084703027/?bc=100337191837
賃貸アパート,Superieur（シュペリユール）,和歌山県和歌山市秋月,ＪＲ阪和線/和歌山駅 歩22分,わかやま電鉄貴志川線/日前宮駅 歩10分,わかやま電鉄貴志川線/神前駅 歩28分,新築,3階建,1階,10.3万円,4000円,-,30万円,2LDK,68.67m2,https://suumo.jp/chintai/jnc_000084703024/?bc=100346707611
賃貸アパート,Superieur（シュペリユール）,和歌山県和歌山市秋月,ＪＲ阪和線/和歌山駅 歩22分,わかやま電鉄貴志川線/日前宮駅 歩10分,わかやま電鉄貴志川線/神前駅 歩28分,新築,3階建,3階,10.4万円,4000円,-,30万円,2LDK,64.68m2,https://suumo.jp/chintai/jnc_000084703030/?bc=100346676660
賃貸アパート,Superieur（シュペリユール）,和歌山県和歌山市秋月,ＪＲ阪和線/和歌山駅 歩22分,わかやま電鉄貴志川線/日前宮駅 歩10分,わかやま電鉄貴志川線/神前駅 歩28分,新築,3階建,3階,10.6万円,4000円,-,30万円,2LDK,68.67m2,https://suumo.jp/chintai/jnc_000084703031/?bc=100337720235
賃貸マンション,ベレオRian　II,和歌山県和歌山市柳丁,ＪＲ阪和線/和歌山駅 歩11分,わかやま電鉄貴志川線/田中口駅 歩17分,,新築,3階建,2階,10.3万円,9000円,2万円,25万円,1LDK,57.38m2,https://suumo.jp/chintai/jnc_000082343063/?bc=100346854069
賃貸マンション,ベレオRian　II,和歌山県和歌山市柳丁,ＪＲ阪和線/和歌山駅 歩11分,わかやま電鉄貴志川線/田中口駅 歩17分,,新築,3階建,3階,10.3万円,9000円,2万円,25万円,1LDK,57.31m2,https://suumo.jp/chintai/jnc_000082343066/?bc=100346473166
賃貸マンション,ベレオRian　II,和歌山県和歌山市柳丁,ＪＲ阪和線/和歌山駅 歩11分,わかやま電鉄貴志川線/田中口駅 歩17分,,新築,3階建,1階,13.8万円,9000円,3万円,30万円,2LDK,64.78m2,https://suumo.jp/chintai/jnc_000082343061/?bc=100326477135
賃貸マンション,ベレオRian　II,和歌山県和歌山市柳丁,ＪＲ阪和線/和歌山駅 歩11分,わかやま電鉄貴志川線/田中口駅 歩17分,,新築,3階建,2階,14万円,9000円,3万円,30万円,2LDK,64.86m2,https://suumo.jp/chintai/jnc_000082343064/?bc=100326477161
賃貸マンション,ベレオRian　II,和歌山県和歌山市柳丁,ＪＲ阪和線/和歌山駅 歩11分,わかやま電鉄貴志川線/田中口駅 歩17分,,新築,3階建,3階,14万円,9000円,3万円,30万円,2LDK,64.86m2,https://suumo.jp/chintai/jnc_000082343067/?bc=100346474055
賃貸マンション,ベレオRian　II,和歌山県和歌山市柳丁,ＪＲ阪和線/和歌山駅 歩11分,わかやま電鉄貴志川線/田中口駅 歩17分,,新築,3階建,3階,14.3万円,9000円,3万円,30万円,2LDK,64.78m2,https://suumo.jp/chintai/jnc_000082355643/?bc=100346477270
賃貸マンション,ベレオRian　II,和歌山県和歌山市柳丁,ＪＲ阪和線/和歌山駅 歩11分,わかやま電鉄貴志川線/田中口駅 歩17分,,新築,3階建,2階,14.3万円,9000円,3万円,30万円,2LDK,64.78m2,https://suumo.jp/chintai/jnc_000082343065/?bc=100326477136
賃貸マンション,ベレオRian　II,和歌山県和歌山市柳丁,ＪＲ阪和線/和歌山駅 歩11分,わかやま電鉄貴志川線/田中口駅 歩17分,,新築,3階建,1階,14.5万円,9000円,3万円,35万円,2LDK,70.55m2,https://suumo.jp/chintai/jnc_000082343062/?bc=100326477165
賃貸マンション,ベレオRian　II,和歌山県和歌山市柳丁,ＪＲ阪和線/和歌山駅 歩11分,わかやま電鉄貴志川線/田中口駅 歩17分,,新築,3階建,2階,15万円,9000円,3万円,35万円,2LDK,70.55m2,https://suumo.jp/chintai/jnc_000082348127/?bc=100326477166
賃貸マンション,ベレオRian　II,和歌山県和歌山市柳丁,ＪＲ阪和線/和歌山駅 歩11分,わかやま電鉄貴志川線/田中口駅 歩17分,,新築,3階建,3階,15万円,9000円,3万円,35万円,2LDK,70.55m2,https://suumo.jp/chintai/jnc_000082355644/?bc=100326502803
