Address,Area,Group,Block
和歌山県和歌山市北坂ノ上丁,雄湊地区,第9ブロック,中心部地域
和歌山県和歌山市北新1,本町地区,第9ブロック,中心部地域
和歌山県和歌山市北新2,本町地区,第9ブロック,中心部地域
和歌山県和歌山市北新3,本町地区,第9ブロック,中心部地域
和歌山県和歌山市北新4,本町地区,第9ブロック,中心部地域
和歌山県和歌山市北新5,本町地区,第9ブロック,中心部地域
和歌山県和歌山市北新戎ノ丁,本町地区,第9ブロック,中心部地域
和歌山県和歌山市北新桶屋町,本町地区,第9ブロック,中心部地域
和歌山県和歌山市北新金屋丁,本町地区,第9ブロック,中心部地域
和歌山県和歌山市北新七軒丁,本町地区,第9ブロック,中心部地域
和歌山県和歌山市北新中ノ丁,本町地区,第9ブロック,中心部地域
和歌山県和歌山市北新博労町,本町地区,第9ブロック,中心部地域
和歌山県和歌山市北新元金屋丁,本町地区,第9ブロック,中心部地域
和歌山県和歌山市北島,野崎地区,第2ブロック,北部地域
和歌山県和歌山市北甚五兵衛丁,雄湊地区,第9ブロック,中心部地域
和歌山県和歌山市北田辺丁,雄湊地区,第9ブロック,中心部地域
和歌山県和歌山市北大工町,城北地区,第9ブロック,中心部地域
和歌山県和歌山市北中間町,雄湊地区,第9ブロック,中心部地域
和歌山県和歌山市北出島,宮地区,第6ブロック,中心部地域
和歌山県和歌山市北出島1,新南地区,第10ブロック,中心部地域
和歌山県和歌山市北土佐丁,雄湊地区,第9ブロック,中心部地域
和歌山県和歌山市北中島1,宮前地区,第6ブロック,中心部地域
和歌山県和歌山市北野,紀伊地区,第3ブロック,北東部地域
和歌山県和歌山市北ノ新地1,大新地区,第10ブロック,中心部地域
和歌山県和歌山市北ノ新地2,大新地区,第10ブロック,中心部地域
和歌山県和歌山市北ノ新地裏田町,大新地区,第10ブロック,中心部地域
和歌山県和歌山市北ノ新地榎丁,大新地区,第10ブロック,中心部地域
和歌山県和歌山市北ノ新地上六軒丁,大新地区,第10ブロック,中心部地域
和歌山県和歌山市北ノ新地下六軒丁,大新地区,第10ブロック,中心部地域
和歌山県和歌山市北ノ新地田町,大新地区,第10ブロック,中心部地域
和歌山県和歌山市北ノ新地中六軒丁,大新地区,第10ブロック,中心部地域
和歌山県和歌山市北ノ新地東ノ丁,大新地区,第10ブロック,中心部地域
和歌山県和歌山市北ノ新地分銅丁,大新地区,第10ブロック,中心部地域
和歌山県和歌山市北別所,山口地区,第3ブロック,北東部地域
和歌山県和歌山市北町,本町地区,第9ブロック,中心部地域
和歌山県和歌山市北汀丁,城北地区,第9ブロック,中心部地域
和歌山県和歌山市狐島,野崎地区,第2ブロック,北部地域
和歌山県和歌山市木ノ本,木本地区,第1ブロック,北西部地域
和歌山県和歌山市木広町2,新南地区,第10ブロック,中心部地域
和歌山県和歌山市木広町3,新南地区,第10ブロック,中心部地域
和歌山県和歌山市木広町4,新南地区,第10ブロック,中心部地域
和歌山県和歌山市木広町5,新南地区,第10ブロック,中心部地域
和歌山県和歌山市紀三井寺,名草地区,第7ブロック,南部地域
和歌山県和歌山市久右衛門丁,雄湊地区,第9ブロック,中心部地域
和歌山県和歌山市九番丁,城北地区,第9ブロック,中心部地域
和歌山県和歌山市吉礼,西山東地区,第5ブロック,南東部地域
和歌山県和歌山市金龍寺丁,砂山地区,第8ブロック,中心部地域
和歌山県和歌山市杭ノ瀬,宮前地区,第6ブロック,中心部地域
和歌山県和歌山市九家ノ丁,城北地区,第9ブロック,中心部地域
和歌山県和歌山市楠右衛門小路,大新地区,第10ブロック,中心部地域
和歌山県和歌山市楠見中,楠見地区,第2ブロック,北部地域
和歌山県和歌山市楠本,川永地区,第3ブロック,北東部地域
和歌山県和歌山市口須佐,西山東地区,第5ブロック,南東部地域
和歌山県和歌山市久保丁1,雄湊地区,第9ブロック,中心部地域
和歌山県和歌山市久保丁2,雄湊地区,第9ブロック,中心部地域
和歌山県和歌山市久保丁3,雄湊地区,第9ブロック,中心部地域
和歌山県和歌山市久保丁4,雄湊地区,第9ブロック,中心部地域
和歌山県和歌山市蔵小路,大新地区,第10ブロック,中心部地域
和歌山県和歌山市栗栖,西和佐地区,第4ブロック,東部地域
和歌山県和歌山市黒岩,東山東地区,第5ブロック,南東部地域
和歌山県和歌山市黒田,宮北地区,第6ブロック,中心部地域
和歌山県和歌山市黒田1,宮北地区,第6ブロック,中心部地域
和歌山県和歌山市黒田2,宮北地区,第6ブロック,中心部地域
和歌山県和歌山市黒谷,東山東地区,第5ブロック,南東部地域
和歌山県和歌山市桑山,安原地区,第5ブロック,南東部地域
和歌山県和歌山市毛革屋丁,大新地区,第10ブロック,中心部地域
和歌山県和歌山市毛見,名草地区,第7ブロック,南部地域
和歌山県和歌山市下町,雄湊地区,第9ブロック,中心部地域
和歌山県和歌山市源蔵馬場1,城北地区,第9ブロック,中心部地域
和歌山県和歌山市源蔵馬場2,城北地区,第9ブロック,中心部地域
和歌山県和歌山市神前,岡崎地区,第5ブロック,南東部地域
和歌山県和歌山市神波,川永地区,第3ブロック,北東部地域
和歌山県和歌山市小雑賀,宮前地区,第6ブロック,中心部地域
和歌山県和歌山市小雑賀1,宮前地区,第6ブロック,中心部地域
和歌山県和歌山市小雑賀2,宮前地区,第6ブロック,中心部地域
和歌山県和歌山市小雑賀3,宮前地区,第6ブロック,中心部地域
和歌山県和歌山市小瀬田,安原地区,第5ブロック,南東部地域
和歌山県和歌山市木挽丁,大新地区,第10ブロック,中心部地域
和歌山県和歌山市小人町,雄湊地区,第9ブロック,中心部地域
和歌山県和歌山市小人町南ノ丁,雄湊地区,第9ブロック,中心部地域
和歌山県和歌山市木枕,東山東地区,第5ブロック,南東部地域
和歌山県和歌山市小松原5,砂山地区,第8ブロック,中心部地域
和歌山県和歌山市小松原6,吹上地区,第8ブロック,中心部地域
和歌山県和歌山市小松原通1,雄湊地区,第9ブロック,中心部地域
和歌山県和歌山市小松原通2,吹上地区,第8ブロック,中心部地域
和歌山県和歌山市小松原通3,吹上地区,第8ブロック,中心部地域
和歌山県和歌山市小松原通4,吹上地区,第8ブロック,中心部地域
和歌山県和歌山市小松原通5,吹上地区,第8ブロック,中心部地域
和歌山県和歌山市米屋町,本町地区,第9ブロック,中心部地域
和歌山県和歌山市古屋,木本地区,第1ブロック,北西部地域
和歌山県和歌山市五番丁,城北地区,第9ブロック,中心部地域
和歌山県和歌山市雑賀崎,雑賀崎地区,第7ブロック,南部地域
和歌山県和歌山市雑賀町,本町地区,第9ブロック,中心部地域
和歌山県和歌山市雑賀道,広瀬地区,第10ブロック,中心部地域
和歌山県和歌山市雑賀屋町,雄湊地区,第9ブロック,中心部地域
和歌山県和歌山市雑賀屋町東ノ丁,雄湊地区,第9ブロック,中心部地域
和歌山県和歌山市境原,西山東地区,第5ブロック,南東部地域
和歌山県和歌山市栄谷,貴志地区,第2ブロック,北部地域
和歌山県和歌山市坂田,三田地区,第5ブロック,南東部地域
和歌山県和歌山市鷺ノ森片町,城北地区,第9ブロック,中心部地域
和歌山県和歌山市鷺ノ森新道,城北地区,第9ブロック,中心部地域
和歌山県和歌山市鷺ノ森堂前丁,本町地区,第9ブロック,中心部地域
和歌山県和歌山市鷺ノ森中ノ丁,城北地区,第9ブロック,中心部地域
和歌山県和歌山市鷺ノ森西ノ丁,城北地区,第9ブロック,中心部地域
和歌山県和歌山市鷺ノ森東ノ丁,城北地区,第9ブロック,中心部地域
和歌山県和歌山市鷺ノ森南ノ丁,城北地区,第9ブロック,中心部地域
和歌山県和歌山市鷺ノ森明神丁,城北地区,第9ブロック,中心部地域
和歌山県和歌山市作事丁,砂山地区,第8ブロック,中心部地域
和歌山県和歌山市里,山口地区,第3ブロック,北東部地域
和歌山県和歌山市山東中,東山東地区,第5ブロック,南東部地域
和歌山県和歌山市三番丁,城北地区,第9ブロック,中心部地域
和歌山県和歌山市材木丁,雄湊地区,第9ブロック,中心部地域
和歌山県和歌山市塩ノ谷,東山東地区,第5ブロック,南東部地域
和歌山県和歌山市汐見町1,芦原地区,第10ブロック,中心部地域
和歌山県和歌山市汐見町2,芦原地区,第10ブロック,中心部地域
和歌山県和歌山市汐見町3,芦原地区,第10ブロック,中心部地域
和歌山県和歌山市塩屋1,高松地区,第8ブロック,中心部地域
和歌山県和歌山市塩屋2,雑賀地区,第7ブロック,南部地域
和歌山県和歌山市塩屋3,雑賀地区,第7ブロック,南部地域
和歌山県和歌山市塩屋4,雑賀地区,第7ブロック,南部地域
和歌山県和歌山市塩屋5,高松地区,第8ブロック,中心部地域
和歌山県和歌山市塩屋6,雑賀地区,第7ブロック,南部地域
和歌山県和歌山市七番丁,城北地区,第9ブロック,中心部地域
和歌山県和歌山市芝ノ丁,吹上地区,第8ブロック,中心部地域
和歌山県和歌山市島,川永地区,第3ブロック,北東部地域
和歌山県和歌山市島崎町1,広瀬地区,第10ブロック,中心部地域
和歌山県和歌山市島崎町2,広瀬地区,第10ブロック,中心部地域
和歌山県和歌山市島崎町3,広瀬地区,第10ブロック,中心部地域
和歌山県和歌山市島崎町4,広瀬地区,第10ブロック,中心部地域
和歌山県和歌山市島崎町5,芦原地区,第10ブロック,中心部地域
和歌山県和歌山市島崎町6,芦原地区,第10ブロック,中心部地域
和歌山県和歌山市島崎町7,吹上地区,第8ブロック,中心部地域
和歌山県和歌山市島橋北ノ丁,野崎地区,第2ブロック,北部地域
和歌山県和歌山市島橋西ノ丁,野崎地区,第2ブロック,北部地域
和歌山県和歌山市島橋東ノ丁,野崎地区,第2ブロック,北部地域
和歌山県和歌山市島橋南ノ丁,野崎地区,第2ブロック,北部地域
和歌山県和歌山市下三毛,小倉地区,第4ブロック,東部地域
和歌山県和歌山市下和佐,和佐地区,第4ブロック,東部地域
和歌山県和歌山市新魚町,本町地区,第9ブロック,中心部地域
和歌山県和歌山市新雑賀町,大新地区,第10ブロック,中心部地域
和歌山県和歌山市新堺丁,大新地区,第10ブロック,中心部地域
和歌山県和歌山市新在家,四箇郷地区,第4ブロック,東部地域
和歌山県和歌山市新庄,小倉地区,第4ブロック,東部地域
和歌山県和歌山市新生町,新南地区,第10ブロック,中心部地域
和歌山県和歌山市新大工町,大新地区,第10ブロック,中心部地域
和歌山県和歌山市新通1,大新地区,第10ブロック,中心部地域
和歌山県和歌山市新通2,大新地区,第10ブロック,中心部地域
和歌山県和歌山市新通3,大新地区,第10ブロック,中心部地域
和歌山県和歌山市新通4,大新地区,第10ブロック,中心部地域
和歌山県和歌山市新通5,大新地区,第10ブロック,中心部地域
和歌山県和歌山市新通6,大新地区,第10ブロック,中心部地域
和歌山県和歌山市新通7,大新地区,第10ブロック,中心部地域
和歌山県和歌山市新中島,宮前地区,第6ブロック,中心部地域
和歌山県和歌山市新中通1,大新地区,第10ブロック,中心部地域
和歌山県和歌山市新中通2,大新地区,第10ブロック,中心部地域
和歌山県和歌山市新中通3,大新地区,第10ブロック,中心部地域
和歌山県和歌山市新中通4,大新地区,第10ブロック,中心部地域
和歌山県和歌山市新中通5,大新地区,第10ブロック,中心部地域
和歌山県和歌山市新中通6,大新地区,第10ブロック,中心部地域
和歌山県和歌山市新堀東1,高松地区,第8ブロック,中心部地域
和歌山県和歌山市新堀東2,吹上地区,第8ブロック,中心部地域
和歌山県和歌山市新八百屋丁,大新地区,第10ブロック,中心部地域
和歌山県和歌山市新和歌浦,和歌浦地区,第7ブロック,南部地域
和歌山県和歌山市十一番丁,城北地区,第9ブロック,中心部地域
和歌山県和歌山市十三番丁,城北地区,第9ブロック,中心部地域
和歌山県和歌山市十二番丁,城北地区,第9ブロック,中心部地域
和歌山県和歌山市十番丁,城北地区,第9ブロック,中心部地域
和歌山県和歌山市次郎丸,貴志地区,第2ブロック,北部地域
和歌山県和歌山市数寄屋丁,大新地区,第10ブロック,中心部地域
和歌山県和歌山市杉ノ馬場1,城北地区,第9ブロック,中心部地域
和歌山県和歌山市杉ノ馬場2,城北地区,第9ブロック,中心部地域
和歌山県和歌山市杉ノ馬場3,城北地区,第9ブロック,中心部地域
和歌山県和歌山市杉ノ馬場4,城北地区,第9ブロック,中心部地域
和歌山県和歌山市杉ノ馬場5,城北地区,第9ブロック,中心部地域
和歌山県和歌山市鈴丸丁,大新地区,第10ブロック,中心部地域
和歌山県和歌山市砂山南1,砂山地区,第8ブロック,中心部地域
和歌山県和歌山市砂山南2,砂山地区,第8ブロック,中心部地域
和歌山県和歌山市砂山南3,今福地区,第8ブロック,中心部地域
和歌山県和歌山市砂山南4,今福地区,第8ブロック,中心部地域
和歌山県和歌山市住吉町,本町地区,第9ブロック,中心部地域
和歌山県和歌山市駿河町,城北地区,第9ブロック,中心部地域
和歌山県和歌山市頭陀寺,西山東地区,第5ブロック,南東部地域
和歌山県和歌山市関戸1,雑賀地区,第7ブロック,南部地域
和歌山県和歌山市関戸2,雑賀地区,第7ブロック,南部地域
和歌山県和歌山市関戸3,雑賀地区,第7ブロック,南部地域
和歌山県和歌山市関戸4,雑賀地区,第7ブロック,南部地域
和歌山県和歌山市関戸5,雑賀地区,第7ブロック,南部地域
和歌山県和歌山市専光寺門前丁,城北地区,第9ブロック,中心部地域
和歌山県和歌山市船場町,広瀬地区,第10ブロック,中心部地域
和歌山県和歌山市善明寺,楠見地区,第2ブロック,北部地域
和歌山県和歌山市相坂,西山東地区,第5ブロック,南東部地域
和歌山県和歌山市園部,有功地区,第3ブロック,北東部地域
和歌山県和歌山市鷹匠町1,広瀬地区,第10ブロック,中心部地域
和歌山県和歌山市鷹匠町2,広瀬地区,第10ブロック,中心部地域
和歌山県和歌山市鷹匠町3,広瀬地区,第10ブロック,中心部地域
和歌山県和歌山市鷹匠町4,広瀬地区,第10ブロック,中心部地域
和歌山県和歌山市鷹匠町5,広瀬地区,第10ブロック,中心部地域
和歌山県和歌山市鷹匠町6,芦原地区,第10ブロック,中心部地域
和歌山県和歌山市鷹匠町7,吹上地区,第8ブロック,中心部地域
和歌山県和歌山市滝畑,山口地区,第3ブロック,北東部地域
和歌山県和歌山市匠町,本町地区,第9ブロック,中心部地域
和歌山県和歌山市田尻,三田地区,第5ブロック,南東部地域
和歌山県和歌山市畳屋町,本町地区,第9ブロック,中心部地域
和歌山県和歌山市田中町2,新南地区,第10ブロック,中心部地域
和歌山県和歌山市田中町3,新南地区,第10ブロック,中心部地域
和歌山県和歌山市田中町4,新南地区,第10ブロック,中心部地域
和歌山県和歌山市田中町5,新南地区,第10ブロック,中心部地域
和歌山県和歌山市谷,山口地区,第3ブロック,北東部地域
和歌山県和歌山市谷町,広瀬地区,第10ブロック,中心部地域
和歌山県和歌山市田野,田野地区,第7ブロック,南部地域
和歌山県和歌山市田屋,紀伊地区,第3ブロック,北東部地域
和歌山県和歌山市築港1,砂山地区,第8ブロック,中心部地域
和歌山県和歌山市築港2,砂山地区,第8ブロック,中心部地域
和歌山県和歌山市築港3,砂山地区,第8ブロック,中心部地域
和歌山県和歌山市築港4,砂山地区,第8ブロック,中心部地域
和歌山県和歌山市築港5,砂山地区,第8ブロック,中心部地域
和歌山県和歌山市築港6,砂山地区,第8ブロック,中心部地域
和歌山県和歌山市茶屋ノ丁,吹上地区,第8ブロック,中心部地域
和歌山県和歌山市茶屋町,大新地区,第10ブロック,中心部地域
和歌山県和歌山市つつじが丘1,西脇地区,第1ブロック,北西部地域
和歌山県和歌山市つつじが丘2,西脇地区,第1ブロック,北西部地域
和歌山県和歌山市つつじが丘3,西脇地区,第1ブロック,北西部地域
和歌山県和歌山市つつじが丘4,西脇地区,第1ブロック,北西部地域
和歌山県和歌山市つつじが丘5,西脇地区,第1ブロック,北西部地域
和歌山県和歌山市つつじが丘6,西脇地区,第1ブロック,北西部地域
和歌山県和歌山市つつじが丘7,西脇地区,第1ブロック,北西部地域
和歌山県和歌山市津秦,宮地区,第6ブロック,中心部地域
和歌山県和歌山市手平,宮前地区,第6ブロック,中心部地域
和歌山県和歌山市手平1,宮前地区,第6ブロック,中心部地域
和歌山県和歌山市手平2,宮前地区,第6ブロック,中心部地域
和歌山県和歌山市手平3,宮前地区,第6ブロック,中心部地域
和歌山県和歌山市手平4,宮前地区,第6ブロック,中心部地域
和歌山県和歌山市手平5,宮前地区,第6ブロック,中心部地域
和歌山県和歌山市手平6,宮前地区,第6ブロック,中心部地域
和歌山県和歌山市手平出島,宮前地区,第6ブロック,中心部地域
和歌山県和歌山市寺内,岡崎地区,第5ブロック,南東部地域
和歌山県和歌山市出口甲賀丁,砂山地区,第8ブロック,中心部地域
和歌山県和歌山市出口新端ノ丁,砂山地区,第8ブロック,中心部地域
和歌山県和歌山市出口中ノ丁,砂山地区,第8ブロック,中心部地域
和歌山県和歌山市出口端ノ丁,砂山地区,第8ブロック,中心部地域
和歌山県和歌山市出島,西和佐地区,第4ブロック,東部地域
和歌山県和歌山市出水,宮地区,第6ブロック,中心部地域
和歌山県和歌山市伝法橋南ノ丁,雄湊地区,第9ブロック,中心部地域
和歌山県和歌山市徳田木丁,城北地区,第9ブロック,中心部地域
和歌山県和歌山市土佐町1,雄湊地区,第9ブロック,中心部地域
和歌山県和歌山市土佐町2,雄湊地区,第9ブロック,中心部地域
和歌山県和歌山市土佐町3,砂山地区,第8ブロック,中心部地域
和歌山県和歌山市友田町2,大新地区,第10ブロック,中心部地域
和歌山県和歌山市友田町3,宮北地区,第6ブロック,中心部地域
和歌山県和歌山市友田町4,宮北地区,第6ブロック,中心部地域
和歌山県和歌山市友田町5,宮北地区,第6ブロック,中心部地域
和歌山県和歌山市道場町,雄湊地区,第9ブロック,中心部地域
和歌山県和歌山市土入,貴志地区,第2ブロック,北部地域
和歌山県和歌山市中,貴志地区,第2ブロック,北部地域
和歌山県和歌山市中島,宮前地区,第6ブロック,中心部地域
和歌山県和歌山市中筋日延,山口地区,第3ブロック,北東部地域
和歌山県和歌山市中野,貴志地区,第2ブロック,北部地域
和歌山県和歌山市中之島,中之島地区,第9ブロック,中心部地域
和歌山県和歌山市中ノ店北ノ丁,本町地区,第9ブロック,中心部地域
和歌山県和歌山市中ノ店中ノ丁,本町地区,第9ブロック,中心部地域
和歌山県和歌山市中ノ店南ノ丁,本町地区,第9ブロック,中心部地域
和歌山県和歌山市永山,東山東地区,第5ブロック,南東部地域
和歌山県和歌山市七曲り,雄湊地区,第9ブロック,中心部地域
和歌山県和歌山市鍋屋町,本町地区,第9ブロック,中心部地域
和歌山県和歌山市鳴神,宮地区,第6ブロック,中心部地域
和歌山県和歌山市永穂,川永地区,第3ブロック,北東部地域
和歌山県和歌山市新高町,雑賀地区,第7ブロック,南部地域
和歌山県和歌山市仁井辺,安原地区,第5ブロック,南東部地域
和歌山県和歌山市西,岡崎地区,第5ブロック,南東部地域
和歌山県和歌山市西鍛冶屋町,城北地区,第9ブロック,中心部地域
和歌山県和歌山市西河岸町,雄湊地区,第9ブロック,中心部地域
和歌山県和歌山市西釘貫丁1,城北地区,第9ブロック,中心部地域
和歌山県和歌山市西釘貫丁2,城北地区,第9ブロック,中心部地域
和歌山県和歌山市西釘貫丁3,城北地区,第9ブロック,中心部地域
和歌山県和歌山市西蔵前丁,城北地区,第9ブロック,中心部地域
和歌山県和歌山市西小二里1,雑賀地区,第7ブロック,南部地域
和歌山県和歌山市西小二里2,雑賀地区,第7ブロック,南部地域
和歌山県和歌山市西小二里3,雑賀地区,第7ブロック,南部地域
和歌山県和歌山市西紺屋町1,広瀬地区,第10ブロック,中心部地域
和歌山県和歌山市西紺屋町2,広瀬地区,第10ブロック,中心部地域
和歌山県和歌山市西坂ノ上丁,雄湊地区,第9ブロック,中心部地域
和歌山県和歌山市西田井,紀伊地区,第3ブロック,北東部地域
和歌山県和歌山市西高松1,吹上地区,第8ブロック,中心部地域
和歌山県和歌山市西高松2,雑賀地区,第7ブロック,南部地域
和歌山県和歌山市西大工町,城北地区,第9ブロック,中心部地域
和歌山県和歌山市西仲間町1,本町地区,第9ブロック,中心部地域
和歌山県和歌山市西仲間町2,本町地区,第9ブロック,中心部地域
和歌山県和歌山市西長町1,雄湊地区,第9ブロック,中心部地域
和歌山県和歌山市西長町2,雄湊地区,第9ブロック,中心部地域
和歌山県和歌山市西長町3,雄湊地区,第9ブロック,中心部地域
和歌山県和歌山市西長町4,雄湊地区,第9ブロック,中心部地域
和歌山県和歌山市西布経丁1,城北地区,第9ブロック,中心部地域
和歌山県和歌山市西布経丁2,城北地区,第9ブロック,中心部地域
和歌山県和歌山市西布経丁3,城北地区,第9ブロック,中心部地域
和歌山県和歌山市西布経丁4,城北地区,第9ブロック,中心部地域
和歌山県和歌山市西布経丁5,城北地区,第9ブロック,中心部地域
和歌山県和歌山市西布経丁6,城北地区,第9ブロック,中心部地域
和歌山県和歌山市西庄,木本地区,第1ブロック,北西部地域
和歌山県和歌山市西ノ店,城北地区,第9ブロック,中心部地域
和歌山県和歌山市西旅籠町,本町地区,第9ブロック,中心部地域
和歌山県和歌山市西浜,雑賀地区,第7ブロック,南部地域
和歌山県和歌山市西浜1,雑賀地区,第7ブロック,南部地域
和歌山県和歌山市西浜2,雑賀地区,第7ブロック,南部地域
